,employee_id,name,domain,department,age,gender,marital_status,location,join_date,salary,exp,performance_rating,email,phone_number,bonus,attendance_percentage,project_count,remote_work,manager_name,education_level,last_review_date,employee_status
0,EMP5368,Sahil Bhalla,DevOps,Sales Dept,27.0,Male,Divorced,Ahmedabad,2024-09-07,3.0,5.0,4.9, sahilbhalla54@gmail.com,+91-8295881247,4806.35708003518,96.0,8.0,Yes,Jane Agarwal,PhD,2024-04-26,Resigned
1,EMP7787,Shreya Madan,Natural Language Processing,Support Dept,53.0,Female,Single,Delhi,2015-07-02,8000.0,8.0,1.2,shreyamadan82@company.com,09033972852,750.0,85.1,10.0,No,Kabir Taneja,Diploma,2024-02-02,Terminated
2,EMP8856,Varun Kohli,DevOps,Sales Dept,37.0,Female,Single,Banglore,2021-09-19,15370.519451530612,11.0,1.7,varunkohli80@outlook.com,(+91) 1152429926,1000.0,91.7,1.0,No,Noah Hooda,Diploma,2024-04-21,Active
3,EMP1188,Nina Kohli,Natural Language Processing,Operations Dept,65.0,Female,Divorced,Hyderabad,2018-01-28,12000.0,2.0,3.5,ninakohli66@company.com,Not Entered By User,1500.0,84.0,10.0,Yes,ava rastogi,Masters,2025-06-16,Terminated
4,EMP3125,Hannah Acharya,DevOps,Finance Dept,61.0,Male,Divorced,Mumbai,2021-07-12,5.0,10.0,1.7,hannahacharya60@yahoo.in,Not Entered By User,1000.0,63.0,2.0,Yes,Pari Chhabra,M.Tech / MBA,2025-03-05,Resigned
5,EMP6290,Komal Dixit,Statistics,Sales Dept,58.0,Male,Single,Mumbai,2019-07-16,50.0,6.0,3.0010271460014675,komaldixit12@yahoo.in,+91-1757981088,100.0,69.8,12.0,Yes,Myra Clark,M.Tech / MBA,2023-11-22,Resigned
6,EMP10234,Myra Bose,Analytics,Sales Dept,45.0,Male,Divorced,Mumbai,2019-09-19,15000.0,15.0,3.0010271460014675,myrabose50@company.com,301-561-7355,4806.35708003518,77.0,8.0,Yes,Grace Garg,Masters,2023-06-26,Resigned
7,EMP3254,William Nair,Natural Language Processing,Finance Dept,23.0,Male,Divorced,Delhi,2016-05-25,10000.0,15.0,5.0,williamnair49@company.com,(+91) 1784194206,15000.0,73.9,10.0,Yes,Aadhya Acharya,Diploma,2023-08-02,Terminated
8,EMP10218,Nina Joshi,Cloud Engineering,Sales Dept,40.0,Female,Married,Mumbai,2021-09-09,18000.0,7.0,3.5,ninajoshi91@outlook.com,Not Entered By User,1000.0,62.8,8.0,Yes,Not Entered By User,M.Tech / MBA,2024-12-30,Active
9,EMP8580,Mike Chhabra,Data Science,Finance Dept,43.62771266101892,Male,Divorced,Chennai,2015-02-19,10000.0,11.0,4.2,mikechhabra78@company.com,+91-6724779399,0.0,92.0,5.92960088691796,Yes,Vikram Madan,Diploma,2024-08-06,Active
10,EMP4327,Chloe Bedi,Cloud Engineering,Finance Dept,43.62771266101892,Female,Single,Mumbai,2016-08-18,25.0,14.0,1.0,chloebedi58@gmail.com,(+91) 9329595085,7500.0,96.1,2.0,No,Not Entered By User,Diploma,2025-09-30,Active
11,EMP1338,Elijah Clark,Cloud Engineering,Marketing Dept,65.0,Male,Divorced,Pune,2015-04-29,35000.0,7.9624541039914725,4.4,elijahclark93@company.com,6634928545,4806.35708003518,84.1,1.0,No,ajay lal,Diploma,2023-03-15,Resigned
12,EMP8899,Pooja Narayan,Data Science,Finance Dept,64.0,Female,Single,Ahmedabad,2015-05-31,35000.0,14.0,3.7,poojanarayan51@yahoo.in,+91-4797413488,50.0,67.0,3.0,No,Riya Chauhan,PhD,2024-05-08,Terminated
13,EMP8062,Shaurya Patel,Analytics,Finance Dept,61.0,Male,Married,Pune,2021-10-16,40000.0,13.0,4.8, shauryapatel20@yahoo.in,04097872737,20000.0,89.4,5.92960088691796,Yes,Ajay Goel,PhD,2025-07-21,Terminated
14,EMP8863,Kim Naidu,Testing,Marketing Dept,29.0,Male,Married,Mumbai,2021-05-23,6000.0,7.9624541039914725,4.7,kimnaidu58@yahoo.in,(+91) 6812056887,2000.0,84.9,8.0,Yes,Not Entered By User,Diploma,2024-08-05,Resigned
15,EMP1860,George Garg,Analytics,Marketing Dept,32.0,Male,Divorced,Pune,2023-05-21,300.0,5.0,4.0,georgegarg9@outlook.com,+91-2513049979,100.0,84.5,4.0,Yes,Ella Nair,B.Tech / BE,2023-07-13,Resigned
16,EMP7455,Sebastian Eswaran,Statistics,Finance Dept,49.0,Male,Married,Mumbai,2018-02-01,750.0,7.9624541039914725,2.3,sebastianeswaran67@outlook.com,3825582036,2500.0,80.01498359887535,6.0,No,Shaurya Clark,PhD,2024-03-10,Active
17,EMP2278,Ava Saxena,Statistics,Support Dept,43.62771266101892,Female,Married,Chennai,2024-05-04,3.0,9.0,2.1, avasaxena79@gmail.com,06148602029,0.0,77.1,2.0,No,teddy bhalla,M.Tech / MBA,2024-04-20,Terminated
18,EMP9782,Vidya Uppal,DevOps,HR Dept,43.62771266101892,Male,Divorced,Bangalore,2019-05-23,5000.0,8.0,1.7,vidyauppal36@company.com,Not Entered By User,4806.35708003518,80.01498359887535,12.0,Yes,Anvi Gokhale,PhD,2023-01-03,Active
19,EMP4655,Fatima Uppal,Cloud Engineering,HR Dept,45.0,Male,Divorced,Chennai,2019-03-30,30000.0,12.0,1.2,Not Entered By User,8971792736,2500.0,72.0,1.0,Yes,Elijah Patel,B.Tech / BE,2023-06-07,Resigned
20,EMP10603,Uma Jha,DevOps,Engineering Dept,47.0,Male,Divorced,Mumbai,2016-05-01,18000.0,4.0,4.6,umajha15@gmail.com,(+91) 4006563601,20000.0,74.8,11.0,Yes,Manya Dube,PhD,2025-10-05,Active
21,EMP3641,Leo Solanki,Statistics,Marketing Dept,29.0,Female,Single,Hyderabad,2014-12-22,10000.0,4.0,2.0,leosolanki51@gmail.com,Not Entered By User,20000.0,86.8,5.92960088691796,Yes,Navya Miller,Masters,2023-02-06,Active
22,EMP1727,Ella Prasad,Natural Language Processing,Sales Dept,23.0,Female,Married,Hyderabad,2016-01-30,50000.0,11.0,1.2,ellaprasad92@outlook.com,06755617659,50.0,79.0,5.92960088691796,Yes,Lucas Hooda,Masters,2025-06-08,Terminated
