Employee ID,Name,Domain,Department,Age,Gender,Marital Status,Location,Join Date,Salary,Exp,Performance Rating,Email,Phone Number,Bonus,Attendance_Percentage,Project Count,Remote Work,Manager Name,Education Level,Last Review Date,Employee Status
EMP5368,Sahil Bhalla,DevOps,,27,Male,,Ahmedabad,"Sep 07, 2024",3%0000,5 yrs,4.9 stars, sahilbhalla54@gmail.com,+91-8295881247,,96.0%,8,Yes,Jane Agarwal,PhD,26.04.2024,Resigned
EMP7787,Shreya Madan*,NLP,Support,53,female ,Single,Delhi,2015/02/07,8000,8> yrs,1.2^,shreyamadan82@company.com,09033972852,750%0,85.1%, 10,no,Kabir Taneja,Bachelors,2024/02/02,Terminated
EMP8856,Varun Kohli,DevOps,,37 years,female ,S,Banglore,2021-09-19,,11+ year,1.7^,varunkohli80@outlook.com,(+91) 1152429926,1000,91.7pct,1+,No,Noah Hooda^,Bachelors,21-Apr-2024,Active
EMP1188,Nina Kohli,NLP,Operations,65' yr,f,Divorced,Hyderabad,2018-01-28,12000,2> yrs,3.5 stars,ninakohli66@company.com,,1500^0,84 %, 10,YES ,ava rastogi,Masters,16.06.2025,Terminated
EMP3125, Hannah Acharya  ,devops,Finance,61yr,male ,Divorced,Mumbai,12-Jul-2021,5$000,10> yrs,1.7/5,hannahacharya60@yahoo.in,,1000,63.0%,2,yes,Pari Chhabra,M.Tech/MBA,"Mar 05, 2025",Resigned
EMP6290,Komal Dixit,statistics,finance Dept.,58-yr,,Single,,16-Jul-2019,50%000,6+ year,,komaldixit12@yahoo.in,+91-1757981088,100%00,69.8pct, 12,yes,Myra Clark,M.Tech/MBA,22.11.2023,Resigned
EMP10234,Myra Bose,Analytics^^#,Support Dept.,45 yr,male ,Divorced,Mumbai,19-Sep-2019,15000,<15,,myrabose50@company.com,301-561-7355,,77 %,8+,,Grace Garg,masters,2023/06/26,Resigned
EMP3254,William Nair,NLP**,Finance,23 yr,MALE,Divorced,Delhi,2016-05-25,10000,15+,5.0^,williamnair49@company.com,(+91) 1784194206,#15000,73.9%,10 projects,Yes,Aadhya Acharya,,02.08.2023,TERMINATED
EMP10218,Nina #Joshi,cloudengineering^^,Sales,40yr,Female,M,,"Sep 09, 2021",18000,7+ year,3.5 stars,ninajoshi91@outlook.com,,1000,62.8pct,8,,,M.Tech/MBA,30-Dec-2024,Active
EMP8580,Mike Chhabra,Datascience,Finance,,m,,Chennai,19-Feb-2015,10000,11+,4.2^,mikechhabra78@company.com,+91-6724779399,0,92 %,,YES ,Vikram Madan,Bachelors,06-Aug-2024,Active
EMP4327,Chloe Bedi,CloudEngineering,Finance,,f,Single,,2016-08-18,25%000,14> yrs,1.0 stars,chloebedi58@gmail.com,(+91) 9329595085,%7500,96.1pct, 2,NO,,Bachelors,30-Sep-2025,Active
EMP1338,Elijah Clark,cloudengineering!!,Marketing,65,male ,Divorced,Pune,29.04.2015,35000,,4.4^,elijahclark93@company.com,6634928545,,84.1, 1,no,ajay lal,Bachelors,15.03.2023,Resigned
EMP8899,Pooja +Narayan,datascience,Finance,64' yr,female ,Single,Ahmedabad,31/05/2015,35000,14+,3.7 stars,poojanarayan51@yahoo.in,+91-4797413488,50$00,67 %,3,No,Riya Chauhan,Ph.D.,"May 08, 2024",terminated
EMP8062,Shaurya Patel,analytics**,Finance,61 years,MALE,married,Pune,2021/10/16,40000,13> yrs,4.8 stars, shauryapatel20@yahoo.in,04097872737,20000,89.4pct,,Yes,Ajay Goel,PhD,21-Jul-2025,TERMINATED
EMP8863,Kim Naidu,testing#$,MARKETING,29-yr,male ,Married,,23-May-2021,6000$0,,4.7^,kimnaidu58@yahoo.in,(+91) 6812056887,2000^0,84.9%, 8,,,,05-Aug-2024,Resigned
EMP1860,George Garg,analytics,marketing,32' yr,MALE,Divorced,Pune,21/05/2023,300%00,5+ year,4.0/5,georgegarg9@outlook.com,+91-2513049979,100$0,84.5%,4+,Y,Ella Nair$,B.Tech/B.E,"Jul 13, 2023",Resigned
EMP7455,Sebastian Eswaran#,Statistics#$,Finance,49-yr,Male,Married,,01.02.2018,750#00,,2.3^,sebastianeswaran67@outlook.com,3825582036,2500,,6 projects,no,Shaurya Clark,Ph.D.,2024-10-03,Active
EMP2278, Ava Saxena  ,statistics,Support,,F,Married,Chennai,04.05.2024,3$5000,9> yrs,2.1 stars, avasaxena79@gmail.com,06148602029,$0,77.1,2+,No,teddy bhalla$,m.tech/mba,2024/04/20,Terminated
EMP9782,Vidya Uppal,devops,HR,,Male,DIVORCED,Bangalore,23.05.2019,5000,8,1.7^,vidyauppal36@company.com,,,, 12,Yes,Anvi Gokhale!,phd,03-Jan-2023,active
EMP4655,Fatima^ Uppal,CloudEngineering^^#,HR,45 years,,,Chennai,2019/03/30,30000,12+ year,1.2 stars,,8971792736,^2500,72.0pct, 1,Y,Elijah Patel,B.Tech/B.E,2023/07/06,RESIGNED
EMP10603,Uma Jha,DevOps,ENGINEERING,47,,Divorced,,01-May-2016,18000,4> yrs,4.6 stars,umajha15@gmail.com,(+91) 4006563601,20000,74.8%, 11,Y,Manya Dube,PhD,05-Oct-2025,Active
EMP3641,Leo Solanki,Statistics#$,Marketing,29 yr,FEMALE,Single,Hyderabad,2014-12-22,10000#0,4,40%,leosolanki51@gmail.com,,20000,86.8,,YES ,Navya Miller,Masters,2023-06-02,Active
EMP1727,Ella Prasad,NLP,Sales,23-yr,f,MARRIED,Hyderabad,2016-01-30,50000,11+,1.2^,ellaprasad92@outlook.com,06755617659,50%00,79 %,,yes,Lucas Hooda,masters,08/06/2025,TERMINATED
EMP1301,Teddy Farooqui,datascience##,,40 years,,Divorced,,2015/02/18,75000,7> yrs,, teddyfarooqui68@gmail.con,+91-6521572662,10%000,91.7,1 projects,NO,Ethan Easwaran#,Diploma,12.05.2024 ,Resigned
EMP7864,Kabir Rastogi,machinelearning^^,Marketing,61yr,F,Divorced,Kolkata,2023/10/04,,,28%,,558-828-9913,2500,99 %,6 projects,YES ,Imran Israni,Bachelors,2024-11-10,Active
EMP10658,Harper Yusufzai,DevOps#$,Sales,39,MALE,single,Kolkata,2021/03/25,90000,,,harperyusufzai51@company.com,+91-0088446993,2000,73.0%,0,no,Riya Kulkarni,,05/01/2023,Terminated
EMP1610, Ravi #Smith  ,statistics!!,Operations,60' yr,M,married,Pune,2014-05-28,100000,15> yrs,2.2/5,ravismith8@outlook.com,,20000,76.0%,11 projects,YES ,Reyansh Nair&,phd,24-Aug-2025,Terminated
EMP9889,Ethan &Bhatia,DevOps,engineering,24-yr,MALE,Single,Ahmedabad,2015/11/19,4000#0,6 yrs,4.3,ethanbhatia57@company.con,+91-3177963629,$0,87.9%,5,yes,,,2024/01/21,Terminated
EMP10296,Aditya Taneja,Dataanalyst,Engineering,49 yr,MALE,Single,Pune,27-Jan-2018,18000,12+,1.9,adityataneja9@gmail.com,950-449-2359,1500^0,,12,yes,Vikram Garg,PhD,20.04.2025,active
EMP3902,Michael Chauhan,CloudEngineering,,31-yr,F,Single,Ahmedabad,2022/03/18,10000,12> yrs,4.0/5,,(+91) 1116704854,,68 %,1 projects,N,Vikram Rao,,31-Oct-2024,
EMP10633,Neha Mukherjee,datascience!!,HR,,m,Divorced,Kolkata,"Jul 23, 2015 ",1800%0,8+,42%,nehamukherjee51@yahoo.in,13825 08699,2500,79 %,2 projects,no,Asha Walia,diploma,2025/08/16 ,Active
EMP5487,Sahil Hari,MachineLearning^^#,Engineering,47' yr,Female,SINGLE,Chennai,2021/03/08,,10,2.4/5,sahilhari26@company.com,666-629-1949,1#0000,82.0,4,N,Pallavi Walia,PhD,28-Apr-2025,Active
EMP1127,Tom Nair*,nlp^^#,Engineering,35 years,M,Divorced,,2024/10/15,3500$0,13> yrs,3.1^,tomnair32@company.com,07639675355,15000,64.9pct,6+,yes,pooja sinha,Diploma,07-Nov-2024,Active
EMP7900,Karan Yadav$,WebDevelopment**,Engineering,33 years,FEMALE,,Kolkata,2019-12-11,180%00,12,4.9 stars,karanyadav89@gmail.com,00976487493,2500,96.3pct,1+,NO,,Masters,"May 26, 2024",terminated
EMP8449,Komal Chandra,webdevelopment##,MARKETING,26 yr,m,Divorced,,05/11/2022,3^0000,14+,4.2 stars,komalchandra31@gmail.con,3200458564,1500#0,80.5,4,YES ,Imran Israni,Masters,2024-01-06,Active
EMP1489,Meera &Chopra,Datascience^^#,HR Dept.,52 yr,FEMALE,m,Hyderbad,27.03.2017,750$00,10> yrs,2.3,meerachopra65@company.com,09483219437,#0,68.1,,No,Teddy Bhalla,Diploma,2024/05/21,ACTIVE
EMP9693,Liam Puri,MachineLearning^^#,HR,59,FEMALE,Married,Bangalore,"Oct 12, 2016",150$00,7+,86%,liampuri50@yahoo.in,1559792548,10$00,92.6%,3,Yes,Shaurya Kulkarni,bachelors,10.04.2025,Terminated
EMP3112,Nikhil Smith,Testing**,Sales,58-yr,m,S,Ahmedabad,02.07.2021,35000,<14,88%,nikhilsmith14@yahoo.in,812-397-9815,$0,87.9pct,5 projects,no,Chloe Hari,b.tech/b.e,"Jul 19, 2025",Resigned
